subset,n_galaxies,mean_high_freq_power_frac,median_high_freq_power_frac,mean_smoothness_score,median_smoothness_score
hard31,31,0.027940636526655693,0.025265577274088118,0.9720593634733443,0.9747344227259119
acm102,102,0.02620877756404889,0.024794251756930313,0.9737912224359513,0.9752057482430696
