Galaxy,distance_mode,D_nominal_mpc,e_D_mpc,D_test_mpc,distance_shift_mpc,distance_shift_sigma,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_valid_mond,geometry_qc_flag,geometry_qc_reason,Qual
NGC4214,baseline,2.87,0.14,2.87,0.0,0.0,8.352857622309148,1.233487852138137,-7.119369770171011,14,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,2
NGC4214,D_minus_eD,2.87,0.14,2.73,-0.14000000000000012,-1.0000000000000009,9.677107807641194,1.3322728321667168,-8.344834975474477,14,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,2
NGC4214,D_plus_eD,2.87,0.14,3.0100000000000002,0.14000000000000012,1.0000000000000009,7.174767263336236,1.3197370576820577,-5.855030205654177,14,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,2
NGC3741,baseline,3.21,0.17,3.21,0.0,0.0,10.91156365084943,3.091601071763121,-7.81996257908631,21,review,large_velocity_shift;large_inclination_delta,1
NGC3741,D_minus_eD,3.21,0.17,3.04,-0.16999999999999993,-0.9999999999999996,11.283563351100547,2.9814623462468712,-8.302101004853675,21,review,large_velocity_shift;large_inclination_delta,1
NGC3741,D_plus_eD,3.21,0.17,3.38,0.16999999999999993,0.9999999999999996,10.892414263564735,3.578671778047151,-7.313742485517584,21,review,large_velocity_shift;large_inclination_delta,1
F563-V2,baseline,59.7,11.9,59.7,0.0,0.0,9.572632949473793,1.6996776820939572,-7.872955267379835,10,missing,missing_ba_obs,1
F563-V2,D_minus_eD,59.7,11.9,47.800000000000004,-11.899999999999999,-0.9999999999999999,12.316326264830533,3.579718337195799,-8.736607927634733,10,missing,missing_ba_obs,1
F563-V2,D_plus_eD,59.7,11.9,71.60000000000001,11.900000000000006,1.0000000000000004,7.486596669649093,0.7372856464819507,-6.7493110231671425,10,missing,missing_ba_obs,1
F574-1,baseline,96.8,9.68,96.8,0.0,0.0,15.498385984344608,5.676126886053242,-9.822259098291365,14,missing,missing_ba_obs,1
F574-1,D_minus_eD,96.8,9.68,87.12,-9.679999999999993,-0.9999999999999992,21.296208762375898,2.5230182114977686,-18.77319055087813,14,missing,missing_ba_obs,1
F574-1,D_plus_eD,96.8,9.68,106.47999999999999,9.679999999999993,0.9999999999999992,11.081055245990452,10.721420670180732,-0.3596345758097197,14,missing,missing_ba_obs,1
UGC12506,baseline,100.6,10.1,100.6,0.0,0.0,13.197612547258299,3.0654991119327804,-10.132113435325518,31,ok,,2
UGC12506,D_minus_eD,100.6,10.1,90.5,-10.099999999999994,-0.9999999999999994,18.79546166559791,2.1513491368331206,-16.644112528764786,31,ok,,2
UGC12506,D_plus_eD,100.6,10.1,110.69999999999999,10.099999999999994,0.9999999999999994,8.894321600225451,5.663661860891697,-3.2306597393337544,31,ok,,2
NGC0024,baseline,7.3,0.36,7.3,0.0,0.0,11.60662296513288,1.111074740589926,-10.495548224542954,29,review,large_inclination_delta,1
NGC0024,D_minus_eD,7.3,0.36,6.9399999999999995,-0.3600000000000003,-1.0000000000000009,11.072251048235524,1.7634342912143186,-9.308816757021205,29,review,large_inclination_delta,1
NGC0024,D_plus_eD,7.3,0.36,7.66,0.3600000000000003,1.0000000000000009,12.459014355287923,0.7600112715759413,-11.699003083711982,29,review,large_inclination_delta,1
NGC6674,baseline,51.2,10.2,51.2,0.0,0.0,224.37589450006587,213.43261284592862,-10.943281654137252,15,ok,,1
NGC6674,D_minus_eD,51.2,10.2,41.0,-10.200000000000003,-1.0000000000000004,542.2833822858728,16.303978817047998,-525.9794034688248,15,ok,,1
NGC6674,D_plus_eD,51.2,10.2,61.400000000000006,10.200000000000003,1.0000000000000004,58.513987478447994,617.8438644871924,559.3298770087443,15,ok,,1
UGC06983,baseline,18.0,2.5,18.0,0.0,0.0,14.908172889776548,3.1498152424551904,-11.758357647321358,17,review,large_velocity_shift,1
UGC06983,D_minus_eD,18.0,2.5,15.5,-2.5,-1.0,24.111987919563518,0.8117067692359743,-23.300281150327542,17,review,large_velocity_shift,1
UGC06983,D_plus_eD,18.0,2.5,20.5,2.5,1.0,8.810372390397038,9.550172928126486,0.7398005377294474,17,review,large_velocity_shift,1
UGC07608,baseline,8.21,2.46,8.21,0.0,0.0,12.856430513325229,0.5724500836710491,-12.28398042965418,8,review,faceon_sensitive,1
UGC07608,D_minus_eD,8.21,2.46,5.750000000000001,-2.46,-1.0,18.1999210623976,3.0544480714737623,-15.145472990923837,8,review,faceon_sensitive,1
UGC07608,D_plus_eD,8.21,2.46,10.670000000000002,2.460000000000001,1.0000000000000004,9.043325829645358,0.7281834794247463,-8.315142350220611,8,review,faceon_sensitive,1
F565-V2,baseline,51.8,10.4,51.8,0.0,0.0,13.427272360497351,0.35537925372635776,-13.071893106770993,7,missing,missing_ba_obs,2
F565-V2,D_minus_eD,51.8,10.4,41.4,-10.399999999999999,-0.9999999999999998,18.380574626990917,2.0220364552571066,-16.358538171733812,7,missing,missing_ba_obs,2
F565-V2,D_plus_eD,51.8,10.4,62.199999999999996,10.399999999999999,0.9999999999999998,9.915168821534357,0.7665853671997154,-9.148583454334641,7,missing,missing_ba_obs,2
F568-V1,baseline,80.6,8.06,80.6,0.0,0.0,17.215876766532954,3.1341201853780296,-14.081756581154924,15,missing,missing_ba_obs,1
F568-V1,D_minus_eD,80.6,8.06,72.53999999999999,-8.060000000000002,-1.0000000000000002,19.571135704170295,4.68025387217144,-14.890881831998854,15,missing,missing_ba_obs,1
F568-V1,D_plus_eD,80.6,8.06,88.66,8.060000000000002,1.0000000000000002,15.160113599273744,2.0017035047281038,-13.15841009454564,15,missing,missing_ba_obs,1
KK98-251,baseline,6.8,2.04,6.8,0.0,0.0,55.443663652467244,41.07687715844669,-14.366786494020552,15,missing,missing_ba_obs,2
KK98-251,D_minus_eD,6.8,2.04,4.76,-2.04,-1.0,26.363607250915866,12.358156528176893,-14.005450722738972,15,missing,missing_ba_obs,2
KK98-251,D_plus_eD,6.8,2.04,8.84,2.04,1.0,93.83945948300662,79.78066136869889,-14.058798114307734,15,missing,missing_ba_obs,2
ESO444-G084,baseline,4.83,0.48,4.83,0.0,0.0,34.78495824106678,19.178031997801327,-15.606926243265455,7,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,2
ESO444-G084,D_minus_eD,4.83,0.48,4.35,-0.4800000000000004,-1.0000000000000009,45.746381178745175,29.275223178049362,-16.471158000695812,7,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,2
ESO444-G084,D_plus_eD,4.83,0.48,5.3100000000000005,0.4800000000000004,1.0000000000000009,26.50766221016071,11.888585559564913,-14.619076650595797,7,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,2
ESO116-G012,baseline,13.0,3.9,13.0,0.0,0.0,27.087188091844414,10.358717630289371,-16.72847046155504,15,review,large_inclination_delta,1
ESO116-G012,D_minus_eD,13.0,3.9,9.1,-3.9000000000000004,-1.0000000000000002,96.83545193105834,20.92367228450769,-75.91177964655066,15,review,large_inclination_delta,1
