group,n,mean_gas_abs_curvature_mean,median_gas_abs_curvature_mean,mean_gas_abs_curvature_median,median_gas_abs_curvature_median,mean_gas_abs_curvature_outer_mean,median_gas_abs_curvature_outer_mean,mean_gas_abs_curvature_outer_median,median_gas_abs_curvature_outer_median,mean_gas_abs_curvature_inner_mean,median_gas_abs_curvature_inner_mean,mean_gas_abs_curvature_inner_median,median_gas_abs_curvature_inner_median,mean_gas_curvature_std,median_gas_curvature_std,mean_gas_curvature_sign_mean,median_gas_curvature_sign_mean,mean_gas_curvature_outer_sign_mean,median_gas_curvature_outer_sign_mean
hard31,31,4.744684353066974,2.5999115809954305,2.53747354549796,1.8484397129477257,3.955577324044362,3.3076135146618606,3.5765324947053414,2.438400868684047,5.470608910863145,1.259062786723329,4.89255275360763,1.4079918295124774,5.719548798232468,2.333089806675669,-3.2316205352625773,-1.3195728392001946,-1.6456010885422367,-1.6835830519234811
ml_flip9,9,8.240582649310511,4.200663807445303,6.62916528117073,4.161354281811535,8.574995754851658,5.480438544180571,8.054223786399586,4.912250649638034,7.868052658642406,2.9208890707100346,5.201708695351647,2.210995365587003,10.456202938315695,4.143079710312164,-3.343926546925945,-1.596830689253821,-1.4373484052983527,-1.512540290867792
surrender22,22,9.274713390989337,5.724646247353359,6.224172909834791,4.439101989890919,6.910212945342274,5.534262211729818,5.953719731465458,5.135356829143116,11.371087897854498,4.548266793471003,7.883260774163649,4.124341242684798,11.908310460098226,5.75006444585476,-5.820201978740008,-2.308722868938022,-2.7108462874468913,-2.8420831728200513
