Galaxy,n_points,n_valid_mond,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,T,D,e_D,f_D,Inc,e_Inc,L3.6,e_L3.6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,ba_obs,geometry_source,inc_true_deg,k_inc,velocity_shift_pct,correction_source_used,geometry_qc_flag,geometry_qc_reason,distance_edge_best_margin_shift,distance_edge_best_mode,distance_edge_flipped,best_ml_scale,ml_best_margin_shift,ml_flipped,distance_rel_err,distance_rel_err_pct,gas_to_light_proxy,gas_surface_proxy,pathology_group,n_rc_valid,gas_peak_radius_kpc,gas_peak_value,gas_outer_to_inner_ratio,gas_abs_slope_outer_mean,gas_abs_slope_outer_median,gas_abs_curvature_outer_mean,gas_abs_curvature_outer_median,vgas_high_freq_power_frac,vgas_smoothness_score
NGC2915,30,30,22.12961268636389,4.36814551189078,-17.76146717447311,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,El10,0.5370317963702527,hyperleda_vizier,60.60154970050164,0.9515746049867008,-4.842539501329912,hyperleda_vizier,ok,,0.6719042034787037,D_plus_eD,False,1.3,0.4193087479231892,False,0.0492610837438423,4.9261083743842375,0.7925117004680187,1.6793388429752063,gas_flat_hard31,30,9.7,396.00999999999993,2.0939423101034724,0.8003664469140276,0.8649269495720517,7.527194128766697,6.406579784674899,0.0541517439911529,0.945848256008847
UGC01230,11,11,22.812366021261496,4.73639337983033,-18.075972641431164,9,53.7,10.7,1,22.0,10.0,7.62,0.379,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,"dB02,VdH93",0.8912509381337456,hyperleda_vizier,27.92942492776477,0.7997858522988726,-20.021414770112745,hyperleda_vizier,review,large_velocity_shift;faceon_sensitive,3.609742231328534,D_minus_eD,False,1.3,7.467428273365437,False,0.1992551210428305,19.92551210428305,0.8438320209973753,0.3413748433816815,gas_flat_hard31,11,25.8,2170.6281000000004,5.7219242121190375,1.178791062857471,1.3225999307330143,2.0829980705999973,1.972033495710484,0.0223111954412011,0.9776888045587988
F568-1,12,12,20.95384746250671,2.5605832619094357,-18.39326420059728,5,90.7,9.7,1,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1,"dB01,dB96",,hyperleda_not_found,26.42353388444352,0.9850969495435464,-1.490305045645368,catalog_inclination_proxy,missing,missing_ba_obs,1.4250142649989002,D_plus_eD,False,1.3,2.727957442664845,False,0.1069459757442116,10.694597574421168,0.7194497760716572,0.1676331599111522,gas_flat_hard31,8,13.23,2247.7081,6.154260005416439,2.008630887410965,2.0258165052696886,3.814802454537437,3.996710495144696,0.0279579807113833,0.9720420192886168
UGC05721,23,23,25.54206316550023,4.486567411392014,-21.055495754108215,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",0.4897788193684462,hyperleda_vizier,63.45437068457513,0.9776889097252308,-2.2311090274769074,hyperleda_vizier,ok,,9.052184590661454,D_plus_eD,False,1.3,2.9103908636015454,False,0.2993527508090615,29.935275080906155,1.0583804143126176,3.8919667590027696,gas_flat_hard31,23,5.86,614.0484,2.34820780415288,0.8194407776918361,0.6489914105748831,4.34147734370094,4.127182320520193,0.0397043748282368,0.9602956251717631
NGC3109,25,25,31.76975725522178,7.968203758293198,-23.801553496928584,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",0.1819700858609983,hyperleda_vizier,90.0,0.9396926207859084,-6.030737921409168,hyperleda_vizier,review,large_inclination_delta,0.824794852520899,D_plus_eD,False,1.3,4.815952118824313,False,0.0526315789473684,5.2631578947368425,2.458762886597938,0.1960059171597633,gas_flat_hard31,25,6.19,377.5249,2.498737238480338,0.6175046601737535,0.7323333468097672,4.159229123632171,3.5248678004768568,0.0313804930619313,0.9686195069380686
UGC08490,30,30,26.468546327301205,0.2390569868905155,-26.22948934041069,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",0.5888436553555889,hyperleda_vizier,56.59021831818417,0.9176889969167304,-8.231100308326955,hyperleda_vizier,ok,,9.23695614297088,D_plus_eD,False,1.0,0.0,False,0.1139784946236559,11.39784946236559,0.7079646017699115,1.6039206950323008,gas_flat_hard31,30,4.06,627.0015999999999,1.4506965567840158,0.672014872027614,0.6601622041980306,14.573762649592146,13.806544976830438,0.0448779047097583,0.9551220952902416
UGC06446,17,17,28.429295864064464,0.8821195813849019,-27.54717628267956,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",0.72443596007499,hyperleda_vizier,45.01692286635052,1.0987258871768926,9.872588717689258,hyperleda_vizier,ok,,18.76479042471931,D_plus_eD,False,1.3,24.27864857473827,False,0.3,30.0,1.395748987854251,0.6211431917481195,gas_flat_hard31,16,8.28,1189.5601,4.667284739597177,1.2545737002368766,1.003142152284589,8.020526376384325,7.961781037621607,0.0222119953690574,0.9777880046309426
D564-8,6,6,68.93785688823465,35.01324775318804,-33.92460913504661,10,8.79,0.28,2,63.0,7.0,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0.0,0.0,0.0,2,Tr09,,hyperleda_not_found,66.95937545747276,0.968245836551854,-3.1754163448145856,catalog_inclination_proxy,missing,missing_ba_obs,1.8529147607981784,D_minus_eD,False,1.3,6.201520937228104,False,0.0318543799772468,3.185437997724688,0.8787878787878788,0.0779360386992744,gas_flat_hard31,6,2.56,49.7025,1.8144085093508124,0.1633806182414103,0.0982805707764402,0.8876527341194395,0.8924228453426241,0.0296437204454772,0.9703562795545227
UGC06667,9,9,63.32877966666808,14.049163660408103,-49.27961600625998,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",0.2951209226666385,hyperleda_vizier,77.09921955928279,1.0257392481636076,2.573924816360762,hyperleda_vizier,review,large_inclination_delta,4.130793138808457,D_plus_eD,False,0.7,9.331365573633846,False,0.1388888888888889,13.88888888888889,0.5790980672870437,0.0305024036195682,gas_flat_hard31,7,6.98,657.9224999999999,1.9735592698504307,0.8351335545191717,0.9006889679838268,5.608823030877954,5.825886392714328,0.0178297343372601,0.9821702656627398
UGC04325,8,8,60.79040270881053,6.927688177527673,-53.86271453128286,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",0.5623413251903491,hyperleda_vizier,58.652080877419145,0.7681973847947461,-23.18026152052539,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,30.58404089145484,D_plus_eD,False,1.0,-7.105427357601002e-15,False,0.3,30.0,0.334649555774926,0.1959764134582032,gas_flat_hard31,8,5.59,855.5625,4.443943262900634,0.8605275647712701,0.7489795532453627,1.400870742790231,1.4060503676395972,0.0233994747782738,0.976600525221726
