group,n,mean_gas_outer_to_inner_ratio,median_gas_outer_to_inner_ratio,mean_gas_abs_slope_mean,median_gas_abs_slope_mean,mean_gas_abs_slope_median,median_gas_abs_slope_median,mean_gas_abs_slope_outer_mean,median_gas_abs_slope_outer_mean,mean_gas_abs_slope_outer_median,median_gas_abs_slope_outer_median,mean_gas_abs_slope_inner_mean,median_gas_abs_slope_inner_mean,mean_gas_slope_std,median_gas_slope_std,mean_gas_peak_radius_kpc,median_gas_peak_radius_kpc
hard31,31,5.951164406058855,3.763593300983405,1.869733557271823,1.5335832994473946,1.6719427387589465,1.5065299501957021,1.1238526958623343,1.01781612038685,1.1209216412978775,0.9006889679838268,2.6228348141894995,2.030012565744479,1.5095707324520942,1.039584263241947,11.035806451612904,7.13
ml_flip9,9,4.784432001943456,2.574257218283135,2.1469007366722788,2.192964134808301,1.676056574547201,1.923176850244971,1.3500909287733993,1.4294371320178894,1.2656600257215989,1.0918809861597032,2.9257168616794162,2.4961565757036377,2.0799319412202752,1.5512754308896122,17.23,11.84
surrender22,22,3.6871608542908914,3.19456893855115,2.4561331771741526,1.932398121361282,1.8382718937222449,1.7091043025897523,1.2623872025327942,1.2374256061235698,1.1332993408853833,1.1400693876599028,3.5963033735794214,2.4037638655281732,2.531072470061039,1.5325534345434542,17.012727272727275,10.675
