pathology_group,x_median,y_median,n,panel
acm_better_102,13.88888888888889,44.87211581300208,102,geometry
geom_hostage_22,24.956776764702404,-14.2434140544382,22,geometry
stellar_hostage_9,5.29595015576324,-27.33266824966502,9,geometry
gas_flat_hard31,19.92551210428305,-18.40510450467292,31,geometry
acm_better_102,17.936,0.17879990197838244,102,mass_baryon
geom_hostage_22,2.6790000000000003,0.5931353760771451,22,mass_baryon
stellar_hostage_9,6.537,0.2607879924953096,9,mass_baryon
gas_flat_hard31,1.141,0.7925117004680187,31,mass_baryon
acm_better_102,1.2404388717355355,3.3196787226984346,102,outer_gas_shape
geom_hostage_22,1.2374256061235698,3.19456893855115,22,outer_gas_shape
stellar_hostage_9,1.4294371320178894,2.574257218283135,9,outer_gas_shape
gas_flat_hard31,1.01781612038685,3.763593300983405,31,outer_gas_shape
acm_better_102,4.219338422447764,0.02479425175693025,102,gas_structure_spectrum
geom_hostage_22,5.534262211729818,0.021749793367957203,22,gas_structure_spectrum
stellar_hostage_9,5.480438544180571,0.0244838029510339,9,gas_structure_spectrum
gas_flat_hard31,3.3076135146618606,0.0252655772740881,31,gas_structure_spectrum
